Category,Series_Entity,Short_Name,Long_Name,UUID
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5B/F3","Defense Meteorological Satellite Program-F3","7ed12e98-95b1-406c-a58a-f4bbfa405269"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-1/F1","Defense Meteorological Satellite Program-F1","f2a6694b-5ba1-464a-9d0f-d0212e492d53"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-1/F2","Defense Meteorological Satellite Program-F2","caece537-38fc-4888-8ca7-1f4570dcf409"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-1/F3","Defense Meteorological Satellite Program-F3","06d68016-affc-4477-86f5-e14a7a9839f2"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-1/F4","Defense Meteorological Satellite Program-F4","66014559-5d7a-4f53-811a-1c5b682e4e56"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-1/F5","Defense Meteorological Satellite Program-F5","60e10f22-c473-4368-888f-886a751662ea"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F10","Defense Meteorological Satellite Program-F10","aa866680-32cd-4bd2-88ee-ae7b45c629da"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F11","Defense Meteorological Satellite Program-F11","0d8490b8-347e-4f61-a747-07700c863b47"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F12","Defense Meteorological Satellite Program-F12","60bf045b-f556-4461-8dcc-54dc63300537"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F13","Defense Meteorological Satellite Program-F13","48a1fe2e-6cb2-44ad-8303-0a3328b1e5e4"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F14","Defense Meteorological Satellite Program-F14","b13ff0b8-748c-475c-8512-361ae27a9395"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F15","Defense Meteorological Satellite Program-F15","0661540e-f7b7-469b-9ef7-eaa0dd7a6d10"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F6","Defense Meteorological Satellite Program-F6","030470d1-f545-4775-90b3-b12978cd6315"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F7","Defense Meteorological Satellite Program-F7","b8d201a6-28e8-4889-bc23-97babf5a75c5"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F8","Defense Meteorological Satellite Program-F8","d6a9e2e1-7c3b-4c10-9ffb-59c40b1b2061"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-2/F9","Defense Meteorological Satellite Program-F9","88f4f200-a0fc-4325-aea6-6f525ca31bfe"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-3/F15","Defense Meteorological Satellite Program-F15","4d78ad33-3b1d-4ddc-9d4a-296600363d45"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-3/F16","Defense Meteorological Satellite Program-F16","2f4b0671-f9a0-4912-96cd-96527a4c0678"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-3/F17","Defense Meteorological Satellite Program-F17","be9ed5c4-4d6b-45fa-9bf7-55b7995fbd15"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-3/F18","Defense Meteorological Satellite Program-F18","859c1a88-56d5-48c2-839d-6d18f7746379"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP 5D-3/F19","Defense Meteorological Satellite Program-F19","d1ad8ea7-b460-44b2-a96a-1040d156eeb4"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","DMSP","Defense Meteorological Satellite Program","64dfed70-dca2-4656-83d9-63e74c1b0740"
"Earth Observation Satellites","DMSP (Defense Meteorological Satellite Program)","","","1cf8cbcd-c1be-4c78-9272-b62adad59aa1"
"Earth Observation Satellites","Deimos","Deimos-2","","48e0f5f2-08fb-4739-8c5f-f53e24003f8c"
"Earth Observation Satellites","Deimos","","","f122ab59-266b-4be9-99ad-4c2172bcf97c"
"Earth Observation Satellites","ECHO","ECHO-1","","9b532124-c5a7-40c7-9788-a61ff1295363"
"Earth Observation Satellites","ECHO","ECHO-2","","6e2adc45-a039-46cb-b8e5-e4743df7e656"
"Earth Observation Satellites","ECHO","","","0a3e3bc3-d878-44f0-9650-145a53062c36"
"Earth Observation Satellites","ERS Earth Resource Satellite","ERS-1","European Remote Sensing Satellite-1","02c85d04-228e-4bf3-bb03-d72c22681dff"
"Earth Observation Satellites","ERS Earth Resource Satellite","ERS-2","European Remote Sensing Satellite-2","affbd015-9373-4413-b76f-e91d01c4f5e3"
"Earth Observation Satellites","ERS Earth Resource Satellite","","","3b6b4870-ae80-4488-b9fb-f9152037ec59"
"Earth Observation Satellites","ESSA","ESSA-3","Environmental Science Services Administration Satellite 3","c7706afe-079a-4966-8a9e-6a688ca9b880"
"Earth Observation Satellites","ESSA","ESSA-4","Environmental Science Services Administration Satellite 4","50992afe-f79e-47fc-a1a2-126dc2c42c9a"
"Earth Observation Satellites","ESSA","ESSA-5","Environmental Science Services Administration Satellite 5","8b67c88a-b62f-4585-a5d3-8e0005f42fd0"
"Earth Observation Satellites","ESSA","ESSA-7","Environmental Science Services Administration Satellite 7","2e4252b9-5b53-41bb-8212-1e63a540181f"
"Earth Observation Satellites","ESSA","ESSA-9","Environmental Science Services Administration Satellite 9","1dc828a8-8502-479d-b7c4-d5139c06029a"
"Earth Observation Satellites","ESSA","","","65cb3e7c-d4d8-46df-a5fc-aec63e58e8df"
"Earth Observation Satellites","ETALON","ETALON-1","","0bd45536-e8d5-42bf-998f-05ce4d0f0a49"
"Earth Observation Satellites","ETALON","ETALON-2","","c9c07cf0-49eb-4c7f-aeff-2e95caae9500"
"Earth Observation Satellites","ETALON","","","820b20d7-03b3-43a3-9c7a-f28fa3b0bfe2"
"Earth Observation Satellites","EXPLORER","EXPLORER-9","Air Density Sphere","84d39d18-7ae4-4f86-9626-694de58da933"
"Earth Observation Satellites","EXPLORER","","","0c52630e-cc77-42ab-b1ae-cb736486200e"
"Earth Observation Satellites","Earth Explorers","Biomass","Biomass monitoring mission for Carbon Assessment","a9b21edd-49b7-43be-8e35-8652bbc5559a"
"Earth Observation Satellites","Earth Explorers","CRYOSAT-2","","a915ab2f-46c5-493b-9f18-aeb3383ee72b"
"Earth Observation Satellites","Earth Explorers","GOCE","Gravity Field and Steady-State Ocean Circulation Explorer","b4fc57c3-7f36-40dc-8067-8b1f4dff4e3d"
"Earth Observation Satellites","Earth Explorers","SMOS","Soil Moisture and Ocean Salinity (Earth Explorer Opportunity Mission)","a641c997-0bd2-41aa-ba43-8e03066c3c2a"
"Earth Observation Satellites","Earth Explorers","","","fe9b35e7-6243-44bb-ac42-ce8350e7a86f"
"Earth Observation Satellites","Elektro-L","Elektro-L N1","Geostationary Operational Meteorological Satellite","6d0d4c3e-acfb-4bfd-ab0d-4478e18e4b19"
"Earth Observation Satellites","Elektro-L","Elektro-L N3","","2c780dff-fce3-4625-8b89-a7cd2d64d6ec"
"Earth Observation Satellites","Elektro-L","","","882c16a9-0bc6-4773-8066-e25ea8de3c9d"
"Earth Observation Satellites","FY (Feng-Yun)","FY-1","China's Meteorological Satellite-1","7b07ea0a-714f-4883-b202-898dfa0d4a69"
"Earth Observation Satellites","FY (Feng-Yun)","FY-2","China's  Meteorological Satellite-2","d48c7bce-ce00-42f3-8afd-82a9d45615e6"
"Earth Observation Satellites","FY (Feng-Yun)","","","edf02962-aafa-484f-84e5-2549f6db7552"
"Earth Observation Satellites","FengYun-2","FY-2D","FengYun-2D","3019aa61-89f6-4226-97b3-6c80ef65da10"
"Earth Observation Satellites","FengYun-2","FY-2E","FengYun-2E","d2b2dc9e-7a97-4e16-8562-1087a74fb9c9"
"Earth Observation Satellites","FengYun-2","","","e3344a00-36a4-49c2-b05e-5b540044b510"
"Earth Observation Satellites","FireBIRD","BIROS","Bi-spectral InfraRed Optical System","8e53aafe-f7a5-4629-893e-0a3ae1a6fe1d"
"Earth Observation Satellites","FireBIRD","TET-1","Technology Experiment Carrier-1","67e5bbab-0c9b-40e5-acf7-054671f35d2b"
"Earth Observation Satellites","FireBIRD","","","9b165321-e03c-44dc-bb9c-d10c32c93ab6"
"Earth Observation Satellites","GEOS (Geodetic Earth Orbiting Satellite)","GEOS-1","Geodetic Earth Orbiting Satellite-1","a44b20a7-be0a-40d5-baba-8a77022db3a1"
"Earth Observation Satellites","GEOS (Geodetic Earth Orbiting Satellite)","GEOS-2","Geodetic Earth Orbiting Satellite-2","d3b6b9b2-055e-4a11-b0e6-58f233f24b37"
"Earth Observation Satellites","GEOS (Geodetic Earth Orbiting Satellite)","GEOS-3","Geodetic Earth Orbiting Satellite-3","73ac5529-c0ec-46b5-a592-84b197bb0a35"
"Earth Observation Satellites","GEOS (Geodetic Earth Orbiting Satellite)","","","608e831d-f722-4a97-b173-a308d7bc6dd2"
"Earth Observation Satellites","GEOSAT","GEOSAT","Geodetic Satellite","053da8e9-78d7-4d7f-997a-d06773323b7e"
"Earth Observation Satellites","GEOSAT","GFO-1","GEOSAT FOLLOW-ON-1","84d55533-31f1-4601-acad-5444b31b62b4"
"Earth Observation Satellites","GEOSAT","","","b78f1a1f-2e62-4f21-8031-670f008bdaa5"
"Earth Observation Satellites","GHGSat","GHGSat-C1","Greenhouse Gas Satellite - C1","38a680f5-6c96-490d-9683-8c5588090e34"
"Earth Observation Satellites","GHGSat","GHGSat-C2","Greenhouse Gas Satellite - C2","6564cc55-1032-4e52-b1d4-b177224d3805"
"Earth Observation Satellites","GHGSat","GHGSat-D","Greenhouse Gas Satellite - Demonstrator","1aabc727-a8d8-4dff-a248-8e485d147b00"
"Earth Observation Satellites","GHGSat","","","82823ffa-e4d5-4877-bf0a-b9eb5b8c1108"
"Earth Observation Satellites","GMS (Japan Geostationary Meteorological Satellite)","GMS-1","Geostationary Meteorological Satellite-1","2a4d7fd4-36e7-42a4-9239-5e89ec0b142d"
"Earth Observation Satellites","GMS (Japan Geostationary Meteorological Satellite)","GMS-2","Geostationary Meteorological Satellite-2","63c5a148-a766-45c0-b604-6c0c706ff368"
"Earth Observation Satellites","GMS (Japan Geostationary Meteorological Satellite)","GMS-3","Geostationary Meteorological Satellite-3","a8952068-667a-4d77-8e4c-e40bcd310cdd"
"Earth Observation Satellites","GMS (Japan Geostationary Meteorological Satellite)","GMS-4","Geostationary Meteorological Satellite-4","16dbe86f-4f86-4f78-a393-9c047759c0ee"
"Earth Observation Satellites","GMS (Japan Geostationary Meteorological Satellite)","GMS-5","Geostationary Meteorological Satellite-5","0c08e0d6-ed87-4fc8-8dc9-77887a8bb256"
"Earth Observation Satellites","GMS (Japan Geostationary Meteorological Satellite)","GMS","Japan Geostationary Meteorological Satellite","acf612e2-fcf8-40a5-a08a-dd59d689ef0b"
"Earth Observation Satellites","GMS (Japan Geostationary Meteorological Satellite)","","","deeecd30-32e0-4b89-ae24-31e3e6641b4c"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-10","Geostationary Operational Environmental Satellite 10","6decd6f7-1572-4716-908e-53320218efa1"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-11","Geostationary Operational Environmental Satellite 11","2b10bfcf-f7ab-4ce1-9a4e-0b6f397a7ae0"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-12","Geostationary Operational Environmental Satellite 12","a93b5d7d-5bf4-49d3-b05f-b5f0b55b1bf6"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-13","Geostationary Operational Environmental Satellite 13","3c57a713-8cfe-4e65-8d6c-d30a59786313"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-14","Geostationary Operational Environmental Satellite 14","9dfc4f09-66e5-4e70-b4f9-72f52855c9c3"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-15","Geostationary Operational Environmental Satellite 15","e9415082-d8d2-4073-ba8a-fe22a2c521b6"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-16","Geostationary Operational Environmental Satellite 16","cbc78fde-7247-4906-b553-92c125fd848d"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-17","Geostationary Operational Environmental Satellite 17","bec0b215-7fe0-46e8-855a-d1807779f004"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-1","Geostationary Operational Environmental Satellite 1","9a5e161d-6979-4c0f-a6bd-7d3c268fef18"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-2","Geostationary Operational Environmental Satellite 2","59b9924a-a10f-4205-9051-ed611164fd97"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-3","Geostationary Operational Environmental Satellite 3","54aa88e0-f005-4525-bb26-1b8ed615b5f2"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-4","Geostationary Operational Environmental Satellite 4","eb1b830e-d451-46df-a8c6-4538ed9a5960"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-5","Geostationary Operational Environmental Satellite 5","cc07c141-768f-4e46-a222-5a423b6018a0"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-6","Geostationary Operational Environmental Satellite 6","93ca4f6a-2552-408b-adc2-2a3ca64a4a66"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-7","Geostationary Operational Environmental Satellite 7","2c8920b1-3ed2-417f-90d7-f94a387c77ac"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-8","Geostationary Operational Environmental Satellite 8","64fabc3c-0684-4325-9831-bf7cc461684d"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES-9","Geostationary Operational Environmental Satellite 9","2304694e-c900-4d63-b458-80163d5dcd86"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","GOES","NOAA Geostationary Operational Environmental Satellites","6b9ee582-1641-4f3b-8ce2-22ad3aae93fa"
"Earth Observation Satellites","GOES (Geostationary Operational Environmental Satellite)","","","e31e924e-9e50-4856-b85d-862ee3d084a4"
"Earth Observation Satellites","Himawari","Himawari-8","","dd2591d9-35a1-4037-9664-bbfcf4c80b71"
"Earth Observation Satellites","Himawari","Himawari-9","","e43cfa6a-fb75-4eeb-8674-25917275ea7e"
"Earth Observation Satellites","Himawari","","","d8b7fc7d-9cf3-4020-947d-f33d712b64ab"
"Earth Observation Satellites","IMS","IMS-1","Indian Mini Satellite-1","a4d7359a-ec66-49d6-a394-3cf2794dd552"
"Earth Observation Satellites","IMS","IMS-2","Indian Mini Satellite-2","aa137482-53a7-455d-b8d8-52d487380c2a"
"Earth Observation Satellites","IMS","","","fecf6a37-ffa9-4e11-90cf-1abfeb95cb95"
"Earth Observation Satellites","INSAT (Indian National Satellite)","INSAT-1A","Indian National Satellite-1A","5142bd37-853c-4d34-a2bb-13de9d97b773"
"Earth Observation Satellites","INSAT (Indian National Satellite)","INSAT-1B","Indian National Satellite-1B","9dfe63d1-5b6a-4ac4-ae19-1572ab43445e"
"Earth Observation Satellites","INSAT (Indian National Satellite)","INSAT-3D","","5999e653-21ea-49ef-977a-13b5fe40fa36"
"Earth Observation Satellites","INSAT (Indian National Satellite)","INSAT","Indian National Satellite","dadc6f66-e044-420a-b1d0-4cc11b2f169d"
"Earth Observation Satellites","INSAT (Indian National Satellite)","","","949ab40f-3954-4c81-a063-275d0e13a14e"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-1A","Indian Remote Sensing Satellite-1A","8f7e0fb3-1917-4bb5-ae90-93af14ef0c51"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-1B","Indian Remote Sensing Satellite-1B","b1734eeb-aa26-471d-9300-694c80aa8b42"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-1C","Indian Remote Sensing Satellite-1C","0b60f93d-dad7-4bb8-a41b-22d5f5d58835"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-1D","Indian Remote Sensing Satellite-1D","27b32f62-3460-4541-a1d5-507538b2b34c"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-O2","Oceansat-2","df967339-0096-4445-8732-0071f1de9e27"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-P2","Indian Remote Sensing Satellite-P2","0f7493be-f2c7-427b-befb-d4e33f08016c"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-P3","Indian ISRO IRS-P3 Spacecraft","dbbc7680-269b-42de-a33c-25e541aa6a74"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-P4","Indian Remote Sensing Satellite-P4 (OCEANSAT-1)","9e3bc460-c94c-462f-a207-aa580f2b5b07"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-P5","Indian Remote Sensing Satellite-P5 (CARTOSAT-1)","1d98408e-7465-4d31-86fa-3835a137b78d"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-P6","Indian Remote Sensing Satellite-P6","cdbfcd3f-bde3-44b1-8318-e2ee7873fc57"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-R2A","Indian Remote Sensing Satellite-R2A","56535da7-3b47-41e2-a3a9-b88a6abbc5ef"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","IRS-RS2","Indian Remote Sensing Satellite-RS2","fd710ee8-797c-490a-9f90-064a38141f99"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","K1","Kalpana-1","87daf1d5-4f7c-40e9-8d31-4c816c320029"
"Earth Observation Satellites","IRS (Indian Remote Sensing Satellite)","","","3e8bc0c6-f599-4e23-9535-449af00edd61"
"Earth Observation Satellites","ISIS (International Satellite for Ionospheric S","ISIS-1","International Satellite for Ionospheric Studies-1","0e8963d6-040a-4df2-a7f6-c7dbc1ef1bda"
"Earth Observation Satellites","ISIS (International Satellite for Ionospheric S","ISIS-2","International Satellite for Ionospheric Studies-2","a3725789-7cae-48f1-9c2c-a27bc30c79a1"
"Earth Observation Satellites","ISIS (International Satellite for Ionospheric S","","","dfc148f7-69ed-401a-b2d2-f2c4097ef9b6"
"Earth Observation Satellites","ITOS","ITOS-1","","b080d2a3-c089-4ddf-bbfb-3e24495413b3"
"Earth Observation Satellites","ITOS","","","80e95a88-b44e-444e-bd79-2e6dbb56b170"
"Earth Observation Satellites","JERS","JERS-1","Japanese Earth Resources Satellite-1","f3230e87-898e-45d1-aa7f-b5b42eb3a3fc"
"Earth Observation Satellites","JERS","","","f79e1dd5-797c-4aa6-ab58-433c1abaec26"
"Earth Observation Satellites","Joint Polar Satellite System (JPSS)","JPSS-2","","043dc242-1014-4e9a-91ee-c472b791b026"
