,Category,Topic,Term,Variable_Level_1,Variable_Level_2,Variable_Level_3,Detailed_Variable,UUID
2432,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,BOREHOLES,,,,5a63fa7f-2971-4874-a920-394df07d218e
2433,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,CAVE DEPOSITS,,,,1651d2e2-4483-42fc-aef2-fd49e650eff1
2434,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,GLACIATION,,,,8c615709-df55-4b09-a5a9-1fabb133fe1a
2435,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,ISOTOPES,,,,61f57065-8f47-45c7-8319-f6115153a6ad
2436,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,LOESS,,,,733234ec-053b-4595-811a-b221e6afb35e
2437,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,MACROFOSSILS,,,,d412deec-d4ef-4c97-ac1c-f92ddb6964c6
2438,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,MICROFOSSILS,,,,98e15316-0055-4392-8825-c38f447d6582
2439,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,PALEOMAGNETIC DATA,,,,f2ceb98b-4b5d-4ee6-b033-e987d2f820f1
2440,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,PALEOSOLS,,,,b54e01eb-02d9-413a-baf1-40a6e59d9eae
2441,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,PALEOVEGETATION,,,,e4871f3e-bc88-4380-b7b7-3a18afccc2bd
2442,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,POLLEN,,,,14c8721e-4d05-4aaa-90be-8607ae2f84b1
2443,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,RADIOCARBON,,,,bf0db125-0182-42e7-81c9-6ed55a05ddd0
2444,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,SEDIMENTS,,,,858d3f93-f2eb-4d2a-87c5-68018f206a47
2445,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,STRATIGRAPHIC SEQUENCE,,,,ac45c059-9555-45ee-ad20-d58514578f1e
2446,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,TREE RINGS,SEA SALT,,,902e9bf8-85d4-431b-aa15-e0d7abe0f17c
2447,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,TREE RINGS,,,,84510f18-a4e6-434c-a54c-44cc995e1af2
2448,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,VOLCANIC DEPOSITS,,,,9761565c-2126-49cd-b4c4-cd3bcb5dbbde
2449,EARTH SCIENCE,PALEOCLIMATE,LAND RECORDS,,,,,486f2c33-2401-4292-9d74-8756ee95211f
2450,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,BOREHOLES,,,,e001c431-c204-419e-af64-cc8978132abf
2451,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,CORAL DEPOSITS,,,,296b7bc4-c031-48ea-bb6d-99f7c971c953
2452,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,ISOTOPES,,,,56589fec-7573-42df-b853-2754cdc9e1b7
2453,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,LAKE LEVELS,,,,77cbdebf-eddf-42b5-8603-e939eccd1780
2454,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,MACROFOSSILS,,,,f986b716-d26c-4c98-8166-b415229186ff
2455,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,MICROFOSSILS,,,,6e872413-f416-43dd-a960-942ef892ae59
2456,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,OXYGEN ISOTOPES,,,,a65ec029-86a7-4c3b-b2b3-ee26353aaf36
2457,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,PALEOMAGNETIC DATA,,,,d42bf3e3-3eda-471a-adb5-ddf1240cd474
2458,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,POLLEN,,,,adcd37fe-9f4a-4d8d-8f79-489775707ea2
2459,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,RADIOCARBON,,,,23822618-39a2-4b2b-9162-37bb0651c118
2460,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,SEDIMENT CORE,,,,a088eccf-1160-4f01-ab71-53e720264ecd
2461,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,SEDIMENTS,,,,d324729f-cc0d-4943-8d1a-d38335120c00
2462,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,STRATIGRAPHIC SEQUENCE,,,,4722fc1e-f93f-4aa1-854a-2b8a82920008
2463,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,VARVE DEPOSITS,,,,4ad60c3b-f72e-4f54-9d3e-0048373c166d
2464,EARTH SCIENCE,PALEOCLIMATE,OCEAN/LAKE RECORDS,,,,,45325a01-2522-48d3-bffa-0edf1a934d48
2465,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,AIR TEMPERATURE RECONSTRUCTION,,,,cb49a2e7-bd89-4d3a-974a-8776a763a4ae
2466,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,ATMOSPHERIC CIRCULATION RECONSTRUCTION,,,,2bdfbf06-c583-4e51-a595-dbc6143d95e0
2467,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,DROUGHT/PRECIPITATION RECONSTRUCTION,,,,cc063daf-1db5-4597-9de2-0501a5593947
2468,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,GROUND WATER RECONSTRUCTION,,,,cf0e53d3-c8ae-4baa-8a31-672a2252f285
2469,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,LAKE LEVEL RECONSTRUCTION,,,,fed291ec-8f7d-4131-a5cd-dc04706f61b0
2470,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,OCEAN SALINITY RECONSTRUCTION,,,,80a6803a-5bf3-4439-b13f-0909e0ea40f9
2471,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,SEA LEVEL RECONSTRUCTION,,,,e240565d-d265-474b-a25b-34059526ae44
2472,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,SEA SURFACE TEMPERATURE RECONSTRUCTION,,,,e7b30694-5d05-404b-9748-b8f6adc3491d
2473,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,SOLAR FORCING/INSOLATION RECONSTRUCTION,,,,4f07a511-1c78-4b2b-8c6a-f4aeedb0f5b6
2474,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,STREAMFLOW RECONSTRUCTION,,,,7859191e-732b-47cf-b1a3-fc7a934509ce
2475,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,VEGETATION RECONSTRUCTION,,,,91600c9b-397e-4855-b21e-b9e97e6d5261
2476,EARTH SCIENCE,PALEOCLIMATE,PALEOCLIMATE RECONSTRUCTIONS,,,,,350c9923-fa80-4f83-8724-2886ac559ac0
2477,EARTH SCIENCE,PALEOCLIMATE,,,,,,c7245882-84a1-4192-acfa-a758b5b9c151
